date,ttf_eur_mwh
2022-01-06,96.5
2022-01-07,88.175
2022-01-10,84.605
2022-01-11,78.735
2022-01-12,75.155
2022-01-13,85.46
2022-01-14,86.97
2022-01-18,78.335
2022-01-19,75.6
2022-01-20,75.205
2022-01-21,78.98
2022-01-24,93.0
2022-01-25,93.58
2022-01-26,91.835
2022-01-27,92.3
2022-01-28,92.062
2022-01-31,84.67
2022-02-01,76.165
2022-02-02,77.35
2022-02-03,80.225
2022-02-04,82.65
2022-02-07,79.595
2022-02-08,77.3
2022-02-09,74.415
2022-02-10,74.355
2022-02-11,77.425
2022-02-14,80.77
2022-02-15,70.92
2022-02-16,69.795
2022-02-17,74.915
2022-02-18,73.76
2022-02-22,79.79
2022-02-23,88.89
2022-02-24,134.315
2022-02-25,94.422
2022-02-28,98.595
2022-03-01,121.675
2022-03-02,165.545
2022-03-03,160.825
2022-03-04,192.55
2022-03-07,227.2
2022-03-08,214.555
2022-03-09,155.88
2022-03-10,126.4
2022-03-11,131.23
2022-03-14,114.52
2022-03-15,115.44
2022-03-16,102.625
2022-03-17,105.09
2022-03-18,105.045
2022-03-21,96.302
2022-03-22,98.745
2022-03-23,117.0
2022-03-24,111.61
2022-03-25,101.27
2022-03-28,102.545
2022-03-29,108.38
2022-03-30,118.97
2022-03-31,125.905
2022-04-01,112.15
2022-04-04,109.525
2022-04-05,108.565
2022-04-06,106.79
2022-04-07,104.565
2022-04-08,103.88
2022-04-11,100.135
2022-04-12,102.22
2022-04-13,105.325
2022-04-14,95.62
2022-04-18,95.62
2022-04-19,93.77
2022-04-20,94.23
2022-04-21,100.06
2022-04-22,94.875
2022-04-25,92.835
2022-04-26,103.21
2022-04-27,107.425
2022-04-28,100.142
2022-04-29,99.45
2022-05-02,97.05
2022-05-03,99.425
2022-05-04,103.82
2022-05-05,106.51
2022-05-06,101.71
2022-05-09,93.785
2022-05-10,98.8
2022-05-11,94.01
2022-05-12,106.7
2022-05-13,96.88
2022-05-16,92.86
2022-05-17,94.175
2022-05-18,94.54
2022-05-19,91.025
2022-05-20,87.9
2022-05-23,83.29
2022-05-24,84.505
2022-05-25,88.08
2022-05-26,85.97
2022-05-27,86.875
2022-05-31,94.005
2022-06-01,85.55
2022-06-02,83.945
2022-06-03,83.1
2022-06-06,82.56
2022-06-07,79.61
2022-06-08,79.405
2022-06-09,84.88
2022-06-10,82.465
2022-06-13,83.4
2022-06-14,97.04
2022-06-15,120.33
2022-06-16,124.365
2022-06-17,117.74
2022-06-21,125.56
2022-06-22,127.17
2022-06-23,133.345
2022-06-24,128.505
2022-06-27,129.46
2022-06-28,129.175
2022-06-29,139.588
2022-06-30,144.515
2022-07-01,147.785
2022-07-05,165.075
2022-07-06,171.0
2022-07-07,183.185
2022-07-08,175.21
2022-07-11,164.52
2022-07-12,172.61
2022-07-13,180.505
2022-07-14,175.035
2022-07-15,159.565
2022-07-18,157.26
2022-07-19,154.455
2022-07-20,155.04
2022-07-21,155.6
2022-07-22,159.865
2022-07-25,176.615
2022-07-26,199.92
2022-07-27,205.225
2022-07-28,198.93
2022-07-29,190.915
2022-08-01,200.795
2022-08-02,205.175
2022-08-03,199.195
2022-08-04,199.25
2022-08-05,196.32
2022-08-08,193.055
2022-08-09,192.185
2022-08-10,205.365
2022-08-11,208.11
2022-08-12,206.11
2022-08-15,220.11
2022-08-16,225.915
2022-08-17,225.835
2022-08-18,241.005
2022-08-19,244.55
2022-08-22,276.75
2022-08-23,269.05
2022-08-24,292.15
2022-08-25,321.415
2022-08-26,339.195
2022-08-29,272.605
2022-08-30,252.937
2022-08-31,239.905
2022-09-01,243.005
2022-09-02,214.665
2022-09-06,239.84
2022-09-07,213.885
2022-09-08,220.54
2022-09-09,207.09
2022-09-12,190.59
2022-09-13,198.61
2022-09-14,217.88
2022-09-15,214.285
2022-09-16,187.795
2022-09-19,182.26
2022-09-20,194.26
2022-09-21,189.78
2022-09-22,187.47
2022-09-23,185.495
2022-09-26,173.835
2022-09-27,186.1
2022-09-28,207.185
2022-09-29,187.665
2022-09-30,188.8
2022-10-03,169.91
2022-10-04,161.95
2022-10-05,173.695
2022-10-06,175.71
2022-10-07,156.205
2022-10-10,154.12
2022-10-11,156.78
2022-10-12,160.19
2022-10-13,153.81
2022-10-14,141.995
2022-10-17,127.98
2022-10-18,113.22
2022-10-19,112.51
2022-10-20,127.145
2022-10-21,113.575
2022-10-24,99.17
2022-10-25,99.795
2022-10-26,104.32
2022-10-27,107.385
2022-10-28,112.244
2022-10-31,123.35
2022-11-01,116.195
2022-11-02,125.865
2022-11-03,125.445
2022-11-04,114.785
2022-11-07,109.685
2022-11-08,118.145
2022-11-09,113.145
2022-11-10,113.45
2022-11-11,97.855
2022-11-14,113.705
2022-11-15,124.105
2022-11-16,113.9
2022-11-17,112.555
2022-11-18,115.51
2022-11-21,116.13
2022-11-22,119.64
2022-11-23,129.62
2022-11-25,124.37
2022-11-28,123.28
2022-11-29,132.286
2022-11-30,146.395
2022-12-01,139.26
2022-12-02,135.56
2022-12-05,134.7
2022-12-06,138.49
2022-12-07,149.245
2022-12-08,138.895
2022-12-09,139.115
2022-12-12,136.59
2022-12-13,137.53
2022-12-14,131.51
2022-12-15,134.765
2022-12-16,115.45
2022-12-19,108.545
2022-12-20,105.69
2022-12-21,97.75
2022-12-22,91.94
2022-12-23,82.975
2022-12-27,80.045
2022-12-28,81.35
2022-12-29,83.83
2022-12-30,76.315
2023-01-03,72.315
2023-01-04,65.02
2023-01-05,72.42
2023-01-06,69.535
2023-01-09,74.3
2023-01-10,70.07
2023-01-11,65.345
2023-01-12,66.81
2023-01-13,64.81
2023-01-17,60.06
2023-01-18,61.71
2023-01-19,60.715
2023-01-20,66.9
2023-01-23,66.0
2023-01-24,58.27
2023-01-25,56.66
2023-01-26,54.815
2023-01-27,55.425
2023-01-30,55.156
2023-01-31,57.35
2023-02-01,59.525
2023-02-02,57.04
2023-02-03,57.89
2023-02-06,58.11
2023-02-07,55.405
2023-02-08,53.685
2023-02-09,52.735
2023-02-10,53.945
2023-02-13,51.705
2023-02-14,52.385
2023-02-15,54.715
2023-02-16,52.01
2023-02-17,49.045
2023-02-21,48.54
2023-02-22,50.57
2023-02-23,50.78
2023-02-24,51.015
2023-02-27,47.299
2023-02-28,46.665
2023-03-01,47.085
2023-03-02,46.815
2023-03-03,44.98
2023-03-06,42.15
2023-03-07,43.37
2023-03-08,42.34
2023-03-09,43.6
2023-03-10,52.855
2023-03-13,49.585
2023-03-14,44.185
2023-03-15,42.905
2023-03-16,44.34
2023-03-17,42.855
2023-03-20,39.325
2023-03-21,42.4
2023-03-22,39.975
2023-03-23,43.185
2023-03-24,41.095
2023-03-27,42.53
2023-03-28,42.75
2023-03-29,42.805
2023-03-30,43.609
2023-03-31,47.845
2023-04-03,51.365
2023-04-04,46.57
2023-04-05,44.575
2023-04-06,43.125
2023-04-10,43.125
2023-04-11,43.69
2023-04-12,42.88
2023-04-13,42.095
2023-04-14,41.15
2023-04-17,41.125
2023-04-18,42.72
2023-04-19,40.3
2023-04-20,40.565
2023-04-21,40.165
2023-04-24,39.925
2023-04-25,39.835
2023-04-26,38.55
2023-04-27,39.039
2023-04-28,38.54
2023-05-01,38.835
2023-05-02,37.53
2023-05-03,36.78
2023-05-04,35.655
2023-05-05,36.575
2023-05-08,36.875
2023-05-09,35.95
2023-05-10,34.995
2023-05-11,34.995
2023-05-12,32.765
2023-05-15,32.315
2023-05-16,31.82
2023-05-17,31.955
2023-05-18,29.785
2023-05-19,30.175
2023-05-22,29.71
2023-05-23,29.125
2023-05-24,27.785
2023-05-25,25.45
2023-05-26,24.52
2023-05-30,24.681
2023-05-31,26.85
2023-06-01,23.105
2023-06-02,23.69
2023-06-05,28.48
2023-06-06,24.86
2023-06-07,26.33
2023-06-08,26.945
2023-06-09,32.05
2023-06-12,31.035
2023-06-13,36.05
2023-06-14,38.31
2023-06-15,41.145
2023-06-16,35.01
2023-06-20,38.71
2023-06-21,36.745
2023-06-22,34.095
2023-06-23,32.507
2023-06-26,31.975
2023-06-27,34.505
2023-06-28,34.125
2023-06-29,35.18
2023-06-30,37.103
2023-07-03,33.93
2023-07-05,34.375
2023-07-06,32.35
2023-07-07,33.478
2023-07-10,30.225
2023-07-11,29.06
2023-07-12,26.64
2023-07-13,26.605
2023-07-14,25.957
2023-07-17,25.1
2023-07-18,27.07
2023-07-19,26.965
2023-07-20,28.02
2023-07-21,28.164
2023-07-24,30.555
2023-07-25,32.65
2023-07-26,29.275
2023-07-27,28.435
2023-07-28,25.841
2023-07-31,28.365
2023-08-01,27.125
2023-08-02,28.74
2023-08-03,30.475
2023-08-04,28.853
2023-08-07,30.485
2023-08-08,31.065
2023-08-09,39.825
2023-08-10,37.055
2023-08-11,35.3
2023-08-14,34.435
2023-08-15,38.815
2023-08-16,37.785
2023-08-17,36.825
2023-08-18,36.41
2023-08-21,40.78
2023-08-22,42.91
2023-08-23,36.785
2023-08-24,31.94
2023-08-25,34.775
2023-08-28,38.415
2023-08-29,35.195
2023-08-30,35.992
2023-08-31,35.03
2023-09-01,35.617
2023-09-05,34.45
2023-09-06,31.075
2023-09-07,32.755
2023-09-08,34.51
2023-09-11,35.85
2023-09-12,34.7
2023-09-13,36.815
2023-09-14,35.52
2023-09-15,36.485
2023-09-18,34.475
2023-09-19,36.78
2023-09-20,37.285
2023-09-21,39.105
2023-09-22,39.791
2023-09-25,44.44
2023-09-26,40.32
2023-09-27,39.295
2023-09-28,39.736
2023-09-29,41.859
2023-10-02,39.335
2023-10-03,36.985
2023-10-04,38.44
2023-10-05,36.205
2023-10-06,38.231
2023-10-09,43.955
2023-10-10,49.455
2023-10-11,46.07
2023-10-12,53.0
2023-10-13,53.982
2023-10-16,48.465
2023-10-17,48.895
2023-10-18,50.835
2023-10-19,50.17
2023-10-20,51.112
2023-10-23,51.275
2023-10-24,49.265
2023-10-25,49.925
2023-10-26,50.81
2023-10-27,50.53
2023-10-30,50.547
2023-10-31,48.005
2023-11-01,47.755
2023-11-02,48.565
2023-11-03,48.057
2023-11-06,44.83
2023-11-07,46.055
2023-11-08,45.775
2023-11-09,48.13
2023-11-10,46.63
2023-11-13,47.875
2023-11-14,47.61
2023-11-15,47.035
2023-11-16,45.85
2023-11-17,45.064
2023-11-20,45.82
2023-11-21,44.065
2023-11-22,44.615
2023-11-24,46.655
2023-11-27,43.985
2023-11-28,42.775
2023-11-29,40.36
2023-11-30,42.09
2023-12-01,43.496
2023-12-04,40.105
2023-12-05,38.135
2023-12-06,39.315
2023-12-07,39.97
2023-12-08,38.6
2023-12-11,36.12
2023-12-12,34.705
2023-12-13,35.81
2023-12-14,34.85
2023-12-15,33.19
2023-12-18,35.52
2023-12-19,32.57
2023-12-20,33.52
2023-12-21,34.205
2023-12-22,34.174
2023-12-26,34.175
2023-12-27,35.515
2023-12-28,33.105
2023-12-29,32.35
2024-01-02,30.57
2024-01-03,32.795
2024-01-04,33.41
2024-01-05,34.55
2024-01-08,31.58
2024-01-09,30.64
2024-01-10,30.94
2024-01-11,30.815
2024-01-12,31.99
2024-01-16,29.655
2024-01-17,27.71
2024-01-18,27.895
2024-01-19,28.429
2024-01-22,27.265
2024-01-23,27.225
2024-01-24,28.93
2024-01-25,27.785
2024-01-26,28.079
2024-01-29,28.175
2024-01-30,29.391
2024-01-31,30.235
2024-02-01,28.99
2024-02-02,29.305
2024-02-05,28.34
2024-02-06,28.605
2024-02-07,28.185
2024-02-08,27.81
2024-02-09,27.115
2024-02-12,25.73
2024-02-13,25.435
2024-02-14,24.855
2024-02-15,24.965
2024-02-16,24.82
2024-02-20,24.17
2024-02-21,23.975
2024-02-22,23.195
2024-02-23,22.934
2024-02-26,24.01
2024-02-27,24.39
2024-02-28,25.619
2024-02-29,24.865
2024-03-01,25.809
2024-03-04,26.885
2024-03-05,27.47
2024-03-06,26.57
2024-03-07,25.99
2024-03-08,26.39
2024-03-11,24.93
2024-03-12,24.775
2024-03-13,24.905
2024-03-14,26.05
2024-03-15,27.026
2024-03-18,28.82
2024-03-19,28.865
2024-03-20,27.74
2024-03-21,26.4
2024-03-22,27.776
2024-03-25,28.49
2024-03-26,27.13
2024-03-27,27.687
2024-03-28,27.34
2024-04-01,27.34
2024-04-02,26.205
2024-04-03,25.565
2024-04-04,26.205
2024-04-05,26.605
2024-04-08,27.91
2024-04-09,27.35
2024-04-10,27.1
2024-04-11,29.375
2024-04-12,30.732
2024-04-15,31.145
2024-04-16,33.14
2024-04-17,31.29
2024-04-18,32.31
2024-04-19,30.758
2024-04-22,29.31
2024-04-23,28.415
2024-04-24,29.02
2024-04-25,29.77
2024-04-26,28.885
2024-04-29,27.994
2024-04-30,29.12
2024-05-01,28.73
2024-05-02,30.915
2024-05-03,30.53
2024-05-06,31.8
2024-05-07,31.065
2024-05-08,30.61
2024-05-09,30.865
2024-05-10,30.03
2024-05-13,29.58
2024-05-14,29.67
2024-05-15,29.735
2024-05-16,30.25
2024-05-17,30.769
2024-05-20,31.77
2024-05-21,33.005
2024-05-22,34.39
2024-05-23,35.23
2024-05-24,34.115
2024-05-28,33.535
2024-05-29,33.88
2024-05-30,35.192
2024-05-31,34.223
2024-06-03,36.015
2024-06-04,33.795
2024-06-05,33.355
2024-06-06,33.685
2024-06-07,33.109
2024-06-10,34.26
2024-06-11,34.285
2024-06-12,35.295
2024-06-13,35.725
2024-06-14,35.36
2024-06-17,34.21
2024-06-18,34.7
2024-06-20,34.465
2024-06-21,33.936
2024-06-24,34.08
2024-06-25,34.855
2024-06-26,33.825
2024-06-27,34.565
2024-06-28,34.48
2024-07-01,33.485
2024-07-02,33.685
2024-07-03,32.69
2024-07-05,33.065
2024-07-08,32.285
2024-07-09,31.335
2024-07-10,30.785
2024-07-11,31.11
2024-07-12,31.72
2024-07-15,31.37
2024-07-16,32.795
2024-07-17,31.895
2024-07-18,32.675
2024-07-19,32.17
2024-07-22,31.84
2024-07-23,31.62
2024-07-24,32.62
2024-07-25,31.78
2024-07-26,32.475
2024-07-29,33.875
2024-07-30,34.361
2024-07-31,35.87
2024-08-01,36.97
2024-08-02,36.65
2024-08-05,35.5
2024-08-06,36.675
2024-08-07,38.45
2024-08-08,40.095
2024-08-09,40.395
2024-08-12,39.66
2024-08-13,39.48
2024-08-14,38.965
2024-08-15,39.6
2024-08-16,39.645
2024-08-19,39.845
2024-08-20,37.955
2024-08-21,37.01
2024-08-22,36.585
2024-08-23,36.865
2024-08-26,37.655
2024-08-27,38.69
2024-08-28,38.52
2024-08-29,38.601
2024-08-30,39.825
2024-09-03,37.195
2024-09-04,35.8
2024-09-05,36.195
2024-09-06,36.48
2024-09-09,37.335
2024-09-10,35.28
2024-09-11,36.14
2024-09-12,35.19
2024-09-13,35.648
2024-09-16,34.081
2024-09-17,35.547
2024-09-18,35.245
2024-09-19,33.083
2024-09-20,34.444
2024-09-23,36.211
2024-09-24,35.413
2024-09-25,37.319
2024-09-26,37.89
2024-09-27,38.114
2024-09-30,39.044
2024-10-01,39.273
2024-10-02,38.617
2024-10-03,39.912
2024-10-04,40.98
2024-10-07,40.244
2024-10-08,38.919
2024-10-09,38.341
2024-10-10,40.293
2024-10-11,39.879
2024-10-14,40.559
2024-10-15,39.973
2024-10-16,39.241
2024-10-17,39.65
2024-10-18,39.204
2024-10-21,40.024
2024-10-22,40.704
2024-10-23,41.38
2024-10-24,42.154
2024-10-25,43.513
2024-10-28,42.519
2024-10-29,42.869
2024-10-30,40.903
2024-10-31,40.588
2024-11-01,39.175
2024-11-04,40.301
2024-11-05,40.492
2024-11-06,40.388
2024-11-07,41.276
2024-11-08,42.409
2024-11-11,43.728
2024-11-12,44.255
2024-11-13,43.666
2024-11-14,46.224
2024-11-15,46.551
2024-11-18,46.9
2024-11-19,45.668
2024-11-20,46.796
2024-11-21,48.303
2024-11-22,47.018
2024-11-25,47.733
2024-11-26,47.216
2024-11-27,46.762
2024-11-29,47.811
2024-12-02,48.655
2024-12-03,48.557
2024-12-04,47.046
2024-12-05,46.551
2024-12-06,46.48
2024-12-09,44.855
2024-12-10,45.552
2024-12-11,44.694
2024-12-12,42.804
2024-12-13,41.215
2024-12-16,40.277
2024-12-17,42.065
2024-12-18,41.007
2024-12-19,43.078
2024-12-20,44.13
2024-12-23,45.545
2024-12-24,45.731
2024-12-26,45.731
2024-12-27,47.731
2024-12-30,47.633
2024-12-31,48.889
2025-01-02,50.273
2025-01-03,49.622
2025-01-06,47.326
2025-01-07,47.474
2025-01-08,45.559
2025-01-09,44.987
2025-01-10,45.008
2025-01-13,48.261
2025-01-14,46.947
2025-01-15,47.006
2025-01-16,46.241
2025-01-17,46.887
2025-01-21,50.027
2025-01-22,48.716
2025-01-23,49.123
2025-01-24,49.702
2025-01-27,47.862
2025-01-28,48.224
2025-01-29,51.156
2025-01-30,51.726
2025-01-31,53.237
2025-02-03,53.794
2025-02-04,52.048
2025-02-05,53.438
2025-02-06,54.502
2025-02-07,55.723
2025-02-10,58.039
2025-02-11,57.766
2025-02-12,55.661
2025-02-13,51.383
2025-02-14,50.685
2025-02-18,49.215
2025-02-19,48.264
2025-02-20,47.494
2025-02-21,47.195
2025-02-24,47.144
2025-02-25,44.291
2025-02-26,41.336
2025-02-27,44.93
2025-02-28,44.32
2025-03-03,45.213
2025-03-04,43.464
2025-03-05,41.508
2025-03-06,38.24
2025-03-07,39.971
2025-03-10,41.232
2025-03-11,42.71
2025-03-12,42.254
2025-03-13,42.076
2025-03-14,42.29
2025-03-17,41.248
2025-03-18,40.755
2025-03-19,43.355
2025-03-20,42.855
2025-03-21,42.605
2025-03-24,42.748
2025-03-25,41.555
2025-03-26,40.87
2025-03-27,41.202
2025-03-28,40.587
2025-03-31,40.667
2025-04-01,42.45
2025-04-02,41.263
2025-04-03,39.203
2025-04-04,36.401
2025-04-07,37.0
2025-04-08,36.231
2025-04-09,33.666
2025-04-10,33.293
2025-04-11,33.463
2025-04-14,34.499
2025-04-15,34.407
2025-04-16,35.312
2025-04-17,35.657
2025-04-21,35.657
2025-04-22,34.244
2025-04-23,34.16
2025-04-24,33.574
2025-04-25,32.432
2025-04-28,32.398
2025-04-29,31.856
2025-04-30,32.317
2025-05-01,32.149
2025-05-02,33.078
2025-05-05,32.93
2025-05-06,34.743
2025-05-07,34.531
2025-05-08,35.341
2025-05-09,34.618
2025-05-12,35.39
2025-05-13,35.744
2025-05-14,35.048
2025-05-15,35.294
2025-05-16,35.156
2025-05-19,35.225
2025-05-20,36.979
2025-05-21,36.621
2025-05-22,36.356
2025-05-23,36.45
2025-05-27,37.006
2025-05-28,36.687
2025-05-29,35.158
2025-05-30,34.228
2025-06-02,35.015
2025-06-03,35.848
2025-06-04,35.65
2025-06-05,36.393
2025-06-06,36.251
2025-06-09,35.605
2025-06-10,34.638
2025-06-11,35.913
2025-06-12,36.177
2025-06-13,37.894
2025-06-16,37.906
2025-06-17,39.309
2025-06-18,38.693
2025-06-19,41.485
2025-06-20,40.929
2025-06-23,40.522
2025-06-24,35.615
2025-06-25,35.401
2025-06-26,34.024
2025-06-27,33.087
2025-06-30,32.898
2025-07-01,33.693
2025-07-02,33.591
2025-07-03,33.621
2025-07-04,33.43
2025-07-07,33.621
2025-07-08,34.219
2025-07-09,34.304
2025-07-10,35.17
2025-07-11,35.561
2025-07-14,35.454
2025-07-15,34.445
2025-07-16,34.809
2025-07-17,34.407
2025-07-18,33.595
2025-07-21,33.159
2025-07-22,33.111
2025-07-23,32.69
2025-07-24,32.358
2025-07-25,32.499
2025-07-28,32.899
2025-07-29,34.103
2025-07-30,34.537
2025-07-31,35.279
2025-08-01,33.972
2025-08-04,34.283
2025-08-05,34.406
2025-08-06,33.257
2025-08-07,32.951
2025-08-08,32.446
2025-08-11,32.999
2025-08-12,32.409
2025-08-13,32.6
2025-08-14,32.141
2025-08-15,31.031
2025-08-18,31.272
2025-08-19,31.227
2025-08-20,31.906
2025-08-21,33.175
2025-08-22,33.573
2025-08-25,33.774
2025-08-26,33.46
2025-08-27,32.551
2025-08-28,31.559
2025-08-29,31.622
2025-09-01,32.275
2025-09-02,31.772
2025-09-03,32.112
2025-09-04,32.412
2025-09-05,31.969
2025-09-08,33.064
2025-09-09,32.931
2025-09-10,33.122
2025-09-11,32.323
2025-09-12,32.662
2025-09-15,32.154
2025-09-16,32.329
2025-09-17,32.401
2025-09-18,32.952
2025-09-19,32.308
2025-09-22,31.844
2025-09-23,32.265
2025-09-24,31.903
2025-09-25,32.456
2025-09-26,32.697
2025-09-29,32.06
2025-09-30,31.411
2025-10-01,31.335
2025-10-02,31.455
2025-10-03,31.438
2025-10-06,33.116
2025-10-07,33.246
2025-10-08,32.7
2025-10-09,32.363
2025-10-10,32.17
2025-10-13,31.475
2025-10-14,31.801
2025-10-15,31.826
2025-10-16,32.378
2025-10-17,31.816
2025-10-20,31.739
2025-10-21,32.2
2025-10-22,31.768
2025-10-23,32.454
2025-10-24,32.016
2025-10-27,31.4
2025-10-28,31.494
2025-10-29,31.869
2025-10-30,31.048
2025-10-31,31.122
2025-11-03,31.741
2025-11-04,32.551
2025-11-05,31.819
2025-11-06,31.548
2025-11-07,31.201
2025-11-10,31.071
2025-11-11,31.102
2025-11-12,30.933
2025-11-13,30.458
2025-11-14,31.25
2025-11-17,31.418
2025-11-18,31.694
2025-11-19,30.94
2025-11-20,31.159
2025-11-21,30.198
2025-11-24,29.747
2025-11-25,29.386
2025-11-26,29.368
2025-11-28,28.817
2025-12-01,28.227
2025-12-02,28.05
2025-12-03,28.206
2025-12-04,27.088
2025-12-05,27.266
2025-12-08,26.871
2025-12-09,27.489
2025-12-10,26.602
2025-12-11,26.805
2025-12-12,27.684
2025-12-15,27.425
2025-12-16,26.764
2025-12-17,27.357
2025-12-18,27.652
2025-12-19,28.161
2025-12-22,27.687
2025-12-23,27.732
2025-12-24,28.095
2025-12-26,28.095
2025-12-29,28.534
2025-12-30,27.766
2025-12-31,28.161
2026-01-02,29.004
2026-01-05,27.399
2026-01-06,28.072
2026-01-07,28.777
2026-01-08,27.699
2026-01-09,28.374
2026-01-12,30.246
2026-01-13,31.473
2026-01-14,31.813
2026-01-15,33.158
2026-01-16,36.879
