delivery_date,germany,FR,CH,NO2,SE4,DK1,DK2,synthetic,gap,outcome
2021-01-01,48.39833333333333,48.39833333333333,48.06041666666667,26.09958333333333,36.23625,48.39833333333333,48.39833333333333,48.29579673702163,0.10253659631170109,mean
2021-01-02,50.5625,50.5625,55.350833333333334,26.847916666666666,43.17250000000001,50.5625,50.5625,52.01546000593602,-1.4529600059360206,mean
2021-01-03,38.622499999999995,47.09583333333333,48.8825,25.781666666666666,27.30875,28.44666666666667,29.97375,35.318190954025226,3.304309045974769,mean
2021-01-04,48.01791666666667,59.2725,60.32666666666666,41.61083333333333,43.88458333333333,42.17375,43.88458333333333,48.31029058904157,-0.29237392237489956,mean
2021-01-05,55.33708333333333,63.85208333333333,58.7175,46.015416666666674,47.28666666666667,47.28041666666667,47.28666666666667,51.28806953578551,4.049013797547822,mean
2021-01-06,52.68291666666667,70.1625,57.6875,41.06041666666667,41.06041666666667,41.06041666666667,41.06041666666667,47.04863921879662,5.634277447870048,mean
2021-01-07,70.92708333333333,82.10291666666667,70.16458333333334,67.41208333333334,67.63458333333334,67.68708333333333,68.19,68.92776473894949,1.999318594383837,mean
2021-01-08,78.33624999999999,84.85458333333334,78.16625,76.6225,76.71625,76.88416666666667,76.88416666666667,77.5314496888569,0.8048003111430972,mean
2021-01-09,59.31875,60.595416666666665,61.36708333333333,55.17666666666667,56.344166666666666,58.27125,58.32708333333333,59.28837071738617,0.03037928261382916,mean
2021-01-10,52.16458333333333,56.85166666666667,57.495000000000005,42.02333333333333,42.9375,43.36041666666667,43.36041666666667,48.08651191657355,4.078071416759784,mean
2021-01-11,48.1525,67.68916666666667,72.36291666666666,41.59666666666667,42.105,41.77291666666667,42.28416666666667,51.91697404291136,-3.7644740429113597,mean
2021-01-12,46.10041666666667,63.53541666666666,66.92,44.83291666666667,45.29791666666667,43.86958333333333,45.370000000000005,51.56625424842847,-5.465837581761804,mean
2021-01-13,42.47208333333334,73.85416666666667,68.18666666666667,42.09708333333334,42.09708333333334,42.09708333333334,42.09708333333334,51.04260855509693,-8.570525221763596,mean
2021-01-14,70.57708333333333,73.33458333333333,74.90875,70.41166666666666,72.09666666666666,70.41166666666666,72.09666666666666,71.94408032978042,-1.3669969964470852,mean
2021-01-15,72.89125,72.31958333333334,79.95375,72.68541666666667,73.74666666666667,72.89125,74.05458333333333,75.06623999199097,-2.1749899919909694,mean
2021-01-16,55.845416666666665,57.78041666666667,57.56583333333333,54.5425,54.921666666666674,55.04291666666666,55.184583333333336,55.90331036131833,-0.057893694651667715,mean
2021-01-17,53.99875,56.655833333333334,57.45333333333334,52.41375,53.043749999999996,52.99666666666667,53.18666666666667,54.47579327120734,-0.4770432712073358,mean
2021-01-18,55.95375000000001,69.16666666666667,66.07666666666667,54.518750000000004,55.177083333333336,54.70166666666666,55.36000000000001,58.65052110488699,-2.6967711048869845,mean
2021-01-19,44.95416666666667,60.38958333333333,64.105,45.20791666666667,45.32833333333334,45.20541666666667,45.32833333333334,51.43757840790417,-6.4834117412374965,mean
2021-01-20,36.28208333333333,49.13458333333333,56.96,35.04875,35.9425,34.94375,35.9425,42.12744871458032,-5.845365381246985,mean
2021-01-21,30.074583333333333,41.59708333333334,56.21208333333333,30.968333333333334,30.866666666666664,28.13625,30.866666666666664,37.21014992324085,-7.135566589907516,mean
2021-01-22,42.52916666666667,49.95041666666666,56.187916666666666,31.027916666666666,29.74291666666667,29.59125,29.812916666666666,38.33095715266039,4.19820951400628,mean
2021-01-23,51.72083333333333,51.805416666666666,53.00208333333333,39.29625,43.58083333333334,49.29749999999999,48.34,50.46131641673597,1.259516916597363,mean
2021-01-24,49.1675,49.159166666666664,50.74333333333333,47.82666666666666,47.88666666666666,49.1675,49.1675,49.64539695356183,-0.4778969535618316,mean
